Models,Accuracy,AUROC,MCC,Precision,Sensitivity,Specificity
AnOxPP,0.9551886792452831,0.9818885724457102,0.9133185156376752,0.9948717948717949,0.9150943396226415,0.9952830188679245
AOPP,0.8679867986798679,0.9230576522998835,0.737921259608285,0.896797153024911,0.8316831683168316,0.9042904290429042
